message,level,source,method,time
Setting up  NuBot version : 0.1.5b,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.128 UTC
Init logging system,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.146 UTC
Set up SSL certificates,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.147 UTC
Load options from 1 files : /tmp/tmp_najQk,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.148 UTC
Wrap the keys into a new ApiKeys object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.149 UTC
Creating an Exchange object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.150 UTC
Create e ExchangeLiveData object to accomodate liveData from the exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.164 UTC
Create a new TradeInterface object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.165 UTC
Swapped pair mode : false,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.166 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 21:43:11.167 UTC
Create a TaskManager ,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.168 UTC
Starting task : Check connection with exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.176 UTC
Waiting  a for the connectionThreads to detect connection,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:11.177 UTC
Configuring NuBot for Dual-Side strategy,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:14.184 UTC
Start trading Strategy specific for nbtbtc,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:14.192 UTC
Options : {<br>dualSide=true<br> submitLiquidity=false<br> executeOrders=true<br> verbose=false<br> sendHipchat=false<br> apiKey=2CQ4QB8AHNKT96QE0G6Y51YI7WOG0H6L2955KWR86TPU4R0KCVJY4LYWHGWLPE74<br> nubitAddress=<br> rpcUser=<br> nudIp=127.0.0.1<br> nudPort=9091<br> priceIncrement=3.0E-4<br> txFee=0.2<br> exchangeName=ccedk<br> pair=nbtbtc<br> executeStrategyInterval=41<br> sendLiquidityInterval=130<br> sendMails=false<br> mailRecipient=null<br> emergencyTimeoutMinutes 60<br> keepProceeds=0.0<br> aggregate=false <br><br>SecondaryPegOptionsJSON : <br>backupFeedNames [blockchain  coinbase  bitstamp] <br>distanceThreshold 10.0<br>mainFeed bitfinex <br>spread 0.0 <br>wallchangeThreshold 0.3},INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:14.193 UTC
Updated Froozen Balances file (res/frozen/nbt_btc-ccedk-frozen.json) : 0 BTC,INFO,com.nubits.nubot.utils.FrozenBalancesManager,updateFrozenFilesystem,Mar 09 2015 21:43:14.235 UTC
Forcing a 0.9% minimum spread to protect from collisions,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:14.241 UTC
NuBot will be start running in 106 seconds  to sync with remote NTP and place walls during next wall shift window.,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 21:43:14.330 UTC
Liquidity is not being sent : orders are not yet initialized,WARNING,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 21:43:53.184 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 21:45:01.064 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 21:45:01.065 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Mar 09 2015 21:45:01.235 UTC
Computing USD prices with spread 0.9%  : sell @ 1.0065 buy @ 0.9935,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,initStrategy,Mar 09 2015 21:45:01.237 UTC
Converted price (using 1 BTC = 287.93 USD) : sell @ 0.00349564 BTC; buy @ 0.00345049 BTC,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,initStrategy,Mar 09 2015 21:45:01.238 UTC
