message,level,source,method,time
Setting up  NuBot version : 0.1.5b,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.601 UTC
Init logging system,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.631 UTC
Set up SSL certificates,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.632 UTC
Load options from 1 files : /tmp/tmpJIXJ6v,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.634 UTC
Wrap the keys into a new ApiKeys object,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.635 UTC
Creating an Exchange object,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.637 UTC
Create e ExchangeLiveData object to accomodate liveData from the exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.660 UTC
Create a new TradeInterface object,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.662 UTC
Swapped pair mode : false,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.663 UTC
CCEDK uses global TX fee  currency pair not supported.now calling getTxFee(),WARNING,com.nubits.nubot.trading.wrappers.CcedkWrapper,getTxFee,Apr 07 2015 14:12:04.664 UTC
Create a TaskManager ,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.666 UTC
Starting task : Check connection with exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.678 UTC
Waiting  a for the connectionThreads to detect connection,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:04.679 UTC
Configuring NuBot for Dual-Side strategy,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:07.685 UTC
Start trading Strategy specific for nbtbtc,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:07.691 UTC
Options : {<br>dualSide=true<br> submitLiquidity=false<br> executeOrders=true<br> verbose=false<br> sendHipchat=false<br> apiKey=2CQ4QB8AHNKT96QE0G6Y51YI7WOG0H6L2955KWR86TPU4R0KCVJY4LYWHGWLPE74<br> nubitAddress=<br> rpcUser=<br> nudIp=127.0.0.1<br> nudPort=9091<br> priceIncrement=3.0E-4<br> txFee=0.2<br> exchangeName=ccedk<br> pair=nbtbtc<br> executeStrategyInterval=41<br> sendLiquidityInterval=130<br> sendMails=false<br> mailRecipient=null<br> emergencyTimeoutMinutes 60<br> keepProceeds=0.0<br> aggregate=false <br><br>SecondaryPegOptionsJSON : <br>backupFeedNames [blockchain  coinbase  bitstamp] <br>distanceThreshold 10.0<br>mainFeed bitfinex <br>spread 0.0 <br>wallchangeThreshold 0.3},INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:07.692 UTC
Forcing a 0.9% minimum spread to protect from collisions,INFO,com.nubits.nubot.launch.NuBot,execute,Apr 07 2015 14:12:07.703 UTC
Problem with timeserver ntp.xs4all.nl
java.net.SocketTimeoutException: Receive timed out,WARNING,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:17.826 UTC
Trying next server,INFO,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:17.828 UTC
Problem with timeserver nist1-pa.ustiming.org
java.net.SocketTimeoutException: Receive timed out,WARNING,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:27.878 UTC
Trying next server,INFO,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:27.880 UTC
Problem with timeserver nist-time-server.eoni.com
java.net.SocketTimeoutException: Receive timed out,WARNING,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:38.168 UTC
Trying next server,INFO,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:38.171 UTC
Liquidity is not being sent : orders are not yet initialized,WARNING,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Apr 07 2015 14:12:46.686 UTC
Problem with timeserver time.nist.gov
java.net.SocketTimeoutException: Receive timed out,WARNING,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:48.969 UTC
Trying next server,INFO,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:48.971 UTC
Problem with timeserver utcnist.colorado.edu
java.net.SocketTimeoutException: Receive timed out,WARNING,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:59.094 UTC
Trying next server,INFO,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:12:59.096 UTC
Problem with timeserver nist.time.nosc.us
java.net.SocketTimeoutException: Receive timed out,WARNING,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:13:09.166 UTC
Cannot update time after querying 6 timeservers. ,SEVERE,com.nubits.nubot.NTP.NTPClient,getTime,Apr 07 2015 14:13:09.167 UTC
Bot shutting down..,INFO,com.nubits.nubot.launch.NuBot$1,run,Apr 07 2015 14:13:09.169 UTC
