message,level,source,method,time
Setting up  NuBot version : 0.1.5b,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.089 UTC
Init logging system,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.107 UTC
Set up SSL certificates,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.108 UTC
Load options from 1 files : /tmp/tmpdhekGm,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.109 UTC
Wrap the keys into a new ApiKeys object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.110 UTC
Creating an Exchange object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.111 UTC
Create e ExchangeLiveData object to accomodate liveData from the exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.126 UTC
Create a new TradeInterface object,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.127 UTC
Swapped pair mode : false,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.128 UTC
The bot detected a 0 TX fee : forcing a priceOffset of 0.1% [if required],WARNING,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.129 UTC
Create a TaskManager ,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.129 UTC
Starting task : Check connection with exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.138 UTC
Waiting  a for the connectionThreads to detect connection,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:11.139 UTC
Configuring NuBot for Dual-Side strategy,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:14.144 UTC
Start trading Strategy specific for nbtbtc,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:14.152 UTC
Options : {<br>dualSide=true<br> submitLiquidity=false<br> executeOrders=true<br> verbose=false<br> sendHipchat=false<br> apiKey=T1WBB90W-JCSM19QI-5BA7YIPJ-C1AQYC47-XCROLSCS<br> nubitAddress=<br> rpcUser=<br> nudIp=127.0.0.1<br> nudPort=9091<br> priceIncrement=3.0E-4<br> txFee=0.2<br> exchangeName=bitcoincoid<br> pair=nbtbtc<br> executeStrategyInterval=41<br> sendLiquidityInterval=130<br> sendMails=false<br> mailRecipient=null<br> emergencyTimeoutMinutes 60<br> keepProceeds=0.0<br> aggregate=false <br><br>SecondaryPegOptionsJSON : <br>backupFeedNames [blockchain  coinbase  bitstamp] <br>distanceThreshold 10.0<br>mainFeed bitfinex <br>spread 0.1 <br>wallchangeThreshold 0.3},INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:14.154 UTC
Forcing a 0.9% minimum spread to protect from collisions,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:14.169 UTC
NuBot will be start running in 46 seconds  to sync with remote NTP and place walls during next wall shift window.,INFO,com.nubits.nubot.launch.NuBot,execute,Mar 09 2015 22:08:14.234 UTC
Liquidity is not being sent : orders are not yet initialized,WARNING,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:08:53.144 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:09:01.059 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:09:01.060 UTC
Computing USD prices with spread 0.9%  : sell @ 1.0045 buy @ 0.9955,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,initStrategy,Mar 09 2015 22:09:01.236 UTC
Converted price (using 1 BTC = 287.98 USD) : sell @ 0.00348809 BTC; buy @ 0.00345684 BTC,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,initStrategy,Mar 09 2015 22:09:01.237 UTC
Initializing strategy,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,run,Mar 09 2015 22:09:01.237 UTC
Frozen funds already in balance (not proceeds) updated : 0.0 Currency{fiat=false  code=BTC  extendedName=Bitcoin},INFO,com.nubits.nubot.utils.FrozenBalancesManager,setBalanceAlreadyThere,Mar 09 2015 22:09:02.958 UTC
Strategy - Submit order : SELL side order :  SELL 3.0 NBT @ 0.00348809 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:03.229 UTC
Strategy - SELL Response1 = 8695,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:03.715 UTC
Strategy - Submit order : SELL side order :  SELL 3.0 NBT @ 0.00348809 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:09.178 UTC
Strategy : SELL Response2 = 8697,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:09.438 UTC
Strategy - Submit order : BUY side order :  BUY 2.3143 NBT @ 0.00345684 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:09.901 UTC
Strategy - BUY Response1 = 8699,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:10.155 UTC
Strategy - Submit order : BUY side order :  BUY 1.4102 NBT @ 0.00345684 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:15.608 UTC
Strategy : BUY Response2 = 8702,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:09:16.092 UTC
Initial walls placed,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,placeInitialWalls,Mar 09 2015 22:09:16.094 UTC
ApiError [5 : Invalid nonce.],SEVERE,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,reportTier1,Mar 09 2015 22:11:03.664 UTC
ApiError [5 : Invalid nonce.],SEVERE,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,reportTier2,Mar 09 2015 22:11:03.903 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:11:03.905 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:12:00.890 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:12:00.892 UTC
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,verifyPegPrices,Mar 09 2015 22:12:01.028 UTC
Sell Price 0.00348809  | Buy Price  0.00345684,INFO,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:12:01.029 UTC
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:12:01.029 UTC
Shift needed on bitcoincoid
Reason : 3 minutes elapsed since last shift,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:12:01.030 UTC
Immediately try to cancel all orders,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,shiftWalls,Mar 09 2015 22:12:01.032 UTC
Strategy - Submit order : BUY side order :  BUY 2.3143 NBT @ 0.00345684 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:09.759 UTC
Strategy - BUY Response1 = 8717,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:10.316 UTC
Strategy - Submit order : BUY side order :  BUY 1.4102 NBT @ 0.00345684 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:15.824 UTC
Strategy : BUY Response2 = 8722,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:16.290 UTC
Strategy - Submit order : SELL side order :  SELL 3.0 NBT @ 0.00348809 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:16.531 UTC
Strategy - SELL Response1 = 8724,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:17.284 UTC
Strategy - Submit order : SELL side order :  SELL 3.0 NBT @ 0.00348809 BTC,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:22.764 UTC
Strategy : SELL Response2 = 8728,WARNING,com.nubits.nubot.tasks.strategy.StrategySecondaryPegUtils,initOrders,Mar 09 2015 22:12:23.244 UTC
Wall shift successful,INFO,com.nubits.nubot.tasks.strategy.StrategySecondaryPegTask,notifyPriceChanged,Mar 09 2015 22:12:29.246 UTC
javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.pricefeeds.CoinbasePriceFeed,getLastPrice,Mar 09 2015 22:12:29.334 UTC
Error while updating BTC price from coinbase,WARNING,com.nubits.nubot.pricefeeds.PriceFeedManager,getLastPrices,Mar 09 2015 22:12:29.335 UTC
Mon Mar 09 22:12:29 GMT 2015 blockchain BTC 287.98 USD 0.00348809 0.00345684 ,WARNING,com.nubits.nubot.tasks.strategy.PriceMonitorTriggerTask,computeNewPrices,Mar 09 2015 22:12:29.335 UTC
ApiError [5 : Invalid nonce.],SEVERE,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,reportTier1,Mar 09 2015 22:13:13.618 UTC
ApiError [5 : Invalid nonce.],SEVERE,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,reportTier2,Mar 09 2015 22:13:14.061 UTC

,INFO,com.nubits.nubot.tasks.SubmitLiquidityinfoTask,checkOrders,Mar 09 2015 22:13:14.063 UTC
